,Token,Lemma,Pos,Chunklabel,DepREL,Previous,PTokenPos,Negation
1,Chapter,chapter,NOUN,NN,ROOT,None,None,O
1,1.,1,X,LS,nummod,Chapter,NOUN,O
1,Mr.,Mr.,PROPN,NNP,compound,1.,X,O
1,Sherlock,Sherlock,PROPN,NNP,compound,Mr.,PROPN,O
1,Holmes,Holmes,PROPN,NNP,conj,Sherlock,PROPN,O
1,Mr.,Mr.,PROPN,NNP,compound,.,PROPN,O
1,Sherlock,Sherlock,PROPN,NNP,compound,Mr.,PROPN,O
1,Holmes,Holmes,PROPN,NNP,nsubj,Sherlock,PROPN,O
1,",",",",PUNCT,",",punct,Holmes,PROPN,O
1,who,who,PRON,WP,nsubj,",",PUNCT,O
1,was,be,AUX,VBD,relcl,who,PRON,O
1,usually,usually,ADV,RB,advmod,was,AUX,O
1,very,very,ADV,RB,advmod,usually,ADV,O
1,late,late,ADV,RB,acomp,very,ADV,O
1,in,in,ADP,IN,prep,late,ADV,O
1,the,the,DET,DT,det,in,ADP,O
1,mornings,morning,NOUN,NNS,pobj,the,DET,O
1,",",",",PUNCT,",",punct,mornings,NOUN,O
1,save,save,VERB,VB,ROOT,",",PUNCT,O
1,upon,upon,SCONJ,IN,prep,save,VERB,O
1,those,those,DET,DT,det,upon,SCONJ,O
1,not,not,PART,RB,neg,those,DET,O
1,infrequent,infrequent,PROPN,NNP,amod,not,PART,B-NEG
1,occasions,occasion,NOUN,NNS,pobj,infrequent,PROPN,O
1,when,when,ADV,WRB,advmod,occasions,NOUN,O
1,he,-PRON-,PRON,PRP,nsubj,when,ADV,O
1,was,be,AUX,VBD,advcl,he,PRON,O
1,up,up,ADV,RB,advmod,was,AUX,O
1,all,all,DET,DT,det,up,ADV,O
1,night,night,NOUN,NN,npadvmod,all,DET,O
1,",",",",PUNCT,",",punct,night,NOUN,O
1,was,be,AUX,VBD,auxpass,",",PUNCT,O
1,seated,seat,VERB,VBN,conj,was,AUX,O
1,at,at,ADP,IN,prep,seated,VERB,O
1,the,the,DET,DT,det,at,ADP,O
1,breakfast,breakfast,PROPN,NNP,compound,the,DET,O
1,table,table,NOUN,NN,pobj,breakfast,PROPN,O
1,.,.,PUNCT,.,punct,table,NOUN,O
1,I,-PRON-,PRON,PRP,nsubj,.,PUNCT,O
1,stood,stood,PROPN,NNP,ROOT,I,PRON,O
1,upon,upon,SCONJ,IN,prep,stood,PROPN,O
1,the,the,DET,DT,det,upon,SCONJ,O
1,hearth-rug,hearth-rug,ADJ,JJ,pobj,the,DET,O
1,and,and,CCONJ,CC,cc,hearth-rug,ADJ,O
1,picked,pick,VERB,VBN,conj,and,CCONJ,O
1,up,up,ADV,RB,prt,picked,VERB,O
1,the,the,DET,DT,det,up,ADV,O
1,stick,stick,PROPN,NNP,dobj,the,DET,O
1,which,which,DET,WDT,dobj,stick,PROPN,O
1,our,-PRON-,DET,PRP$,poss,which,DET,O
1,visitor,visitor,PROPN,NNP,nsubj,our,DET,O
1,had,have,AUX,VBD,aux,visitor,PROPN,O
1,left,left,ADJ,JJ,relcl,had,AUX,O
1,behind,behind,ADV,RB,prep,left,ADJ,O
1,him,-PRON-,PRON,PRP,pobj,behind,ADV,O
1,the,the,DET,DT,det,him,PRON,O
1,night,night,NOUN,NN,npadvmod,the,DET,O
1,before,before,ADP,IN,advmod,night,NOUN,O
1,.,.,PUNCT,.,punct,before,ADP,O
1,It,-PRON-,PRON,PRP,nsubj,'',PUNCT,O
1,was,be,AUX,VBD,ROOT,It,PRON,O
1,a,a,X,LS,det,was,AUX,O
1,fine,fine,ADJ,JJ,amod,a,X,O
1,",",",",PUNCT,",",punct,fine,ADJ,O
1,thick,thick,ADJ,JJ,amod,",",PUNCT,O
1,piece,piece,NOUN,NN,attr,thick,ADJ,O
1,of,of,ADP,IN,prep,piece,NOUN,O
1,wood,wood,NOUN,NN,pobj,of,ADP,O
1,",",",",PUNCT,",",punct,wood,NOUN,O
1,bulbous-headed,bulbous-headed,ADJ,JJ,appos,",",PUNCT,O
1,",",",",PUNCT,",",punct,bulbous-headed,ADJ,O
1,of,of,ADP,IN,prep,",",PUNCT,O
1,the,the,DET,DT,det,of,ADP,O
1,sort,sort,PROPN,NNP,pobj,the,DET,O
1,which,which,DET,WDT,nsubjpass,sort,PROPN,O
1,is,be,AUX,VBZ,auxpass,which,DET,O
1,known,know,VERB,VBN,relcl,is,AUX,O
1,as,as,SCONJ,IN,prep,known,VERB,O
1,a,a,X,LS,det,as,SCONJ,O
1,``,`,PUNCT,``,punct,a,X,O
1,Penang,Penang,PROPN,NNP,compound,``,PUNCT,O
1,lawyer,lawyer,NOUN,NN,pobj,Penang,PROPN,O
1,.,.,PUNCT,.,punct,lawyer,NOUN,O
1,'','',PUNCT,'',punct,.,PUNCT,O
1,Just,just,ADV,RB,advmod,.,PUNCT,O
1,under,under,ADP,IN,prep,Just,ADV,O
1,the,the,DET,DT,det,under,ADP,O
1,head,head,PROPN,NNP,pobj,the,DET,O
1,was,be,AUX,VBD,ROOT,head,PROPN,O
1,a,a,X,LS,det,was,AUX,O
1,broad,broad,ADJ,JJ,amod,a,X,O
1,silver,silver,NOUN,NN,compound,broad,ADJ,O
1,band,band,NOUN,NN,attr,silver,NOUN,O
1,nearly,nearly,ADV,RB,advmod,band,NOUN,O
1,an,an,X,LS,det,nearly,ADV,O
1,inch,inch,NOUN,NN,npadvmod,an,X,O
1,across,across,ADP,IN,advmod,inch,NOUN,O
1,.,.,PUNCT,.,punct,across,ADP,O
1,``,`,PUNCT,``,punct,'',PUNCT,O
1,To,to,ADP,IN,prep,``,PUNCT,O
1,James,James,PROPN,NNP,compound,To,ADP,O
1,Mortimer,Mortimer,PROPN,NNP,nsubjpass,James,PROPN,O
1,",",",",PUNCT,",",punct,Mortimer,PROPN,O
1,M.R.C.S.,M.R.C.S.,PROPN,NNP,appos,",",PUNCT,O
1,",",",",PUNCT,",",punct,M.R.C.S.,PROPN,O
1,from,from,ADP,IN,prep,",",PUNCT,O
1,his,-PRON-,DET,PRP$,poss,from,ADP,O
1,friends,friend,NOUN,NNS,pobj,his,DET,O
1,of,of,ADP,IN,prep,friends,NOUN,O
1,the,the,DET,DT,det,of,ADP,O
1,C.C.H.,C.C.H.,PROPN,NNP,pobj,the,DET,O
1,",",",",PUNCT,",",punct,C.C.H.,PROPN,O
1,'','',PUNCT,'',punct,",",PUNCT,O
1,was,be,AUX,VBD,auxpass,'',PUNCT,O
1,engraved,engrave,VERB,VBN,ROOT,was,AUX,O
1,upon,upon,SCONJ,IN,prep,engraved,VERB,O
1,it,-PRON-,PRON,PRP,pobj,upon,SCONJ,O
1,",",",",PUNCT,",",punct,it,PRON,O
1,with,with,ADP,IN,prep,",",PUNCT,O
1,the,the,DET,DT,det,with,ADP,O
1,date,date,NOUN,NN,pobj,the,DET,O
1,``,`,PUNCT,``,punct,date,NOUN,O
1,1884,1884,NUM,CD,appos,``,PUNCT,O
1,.,.,PUNCT,.,punct,1884,NUM,O
1,'','',PUNCT,'',punct,.,PUNCT,O
1,It,-PRON-,PRON,PRP,nsubj,.,PUNCT,O
1,was,be,AUX,VBD,ROOT,It,PRON,O
1,just,just,ADV,RB,advmod,was,AUX,O
1,such,such,ADJ,JJ,predet,just,ADV,O
1,a,a,X,LS,det,such,ADJ,O
1,stick,stick,PROPN,NNP,attr,a,X,O
1,as,as,SCONJ,IN,prep,stick,PROPN,O
1,the,the,DET,DT,det,as,SCONJ,O
1,old-fashioned,old-fashioned,ADJ,JJ,amod,the,DET,O
1,family,family,NOUN,NN,compound,old-fashioned,ADJ,O
1,practitioner,practitioner,NOUN,NN,pobj,family,NOUN,O
